ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Heure de la dernière modification;La communication préalable sur le programme des deux jours était-elle claire et suffisante ?;Les lieux (salle pour la journée stratégique, site du team building, hébergement) étaient-ils adaptés et confortables ?; La restauration (qualité, variété, prise en compte des préférences) vous a-t-elle convenu ?;La gestion du temps (durée des sessions, pauses, enchaînement) était-elle équilibrée ?;La communication et l’encadrement par les organisateurs/facilitateurs étaient-ils satisfaisants ?;Les objectifs de la journée stratégique étaient-ils clairs pour vous ?;Avez-vous eu l’opportunité de vous exprimer et de contribuer aux discussions stratégiques ?;La présentation du plan stratégique (priorités, objectifs, actions phares) et les communications associées (valeurs, chartes, sensibilisation) étaient-elles pertinentes et inspirantes ?;Cette journée a-t-elle contribué à une meilleure compréhension des enjeux et objectifs de l’entreprise ?;Les conclusions et prochaines étapes définies vous semblent-elles claires et réalisables ?;Les activités de team building proposées vous ont-elles satisfait ?;Ces activités étaient-elles engageantes et ont-elles favorisé la collaboration ?;Dans quelle mesure ont-elles renforcé les liens au sein de l’équipe ?;L’équilibre entre les sessions stratégiques et les activités de team building vous a-t-il convenu ?;Ces deux jours ont-ils renforcé votre sentiment d’appartenance à l’entreprise ?;Les interactions avec vos collègues (cohésion, networking) ont-elles été favorisées ?;Vous sentez-vous motivé(e) à contribuer aux objectifs stratégiques après cet événement ?;La durée globale des deux jours vous a-t-elle convenu ?;. Quelle est votre satisfaction générale pour cet événement ?;Quel a été votre moment préféré des deux jours et pourquoi ?;Quels aspects pourraient être améliorés pour une prochaine édition ?
1;4/6/25 10:38:05;4/6/25 10:39:06;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Trop longue;Satisfait;;
2;4/6/25 11:40:47;4/6/25 11:46:30;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Les travaux sur les 3 étapes avec les restitutions;La gestion du timing des présentations 
3;4/6/25 11:51:41;4/6/25 11:56:05;anonymous;;;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Les activités de team building ;Néant 
4;4/6/25 11:55:38;4/6/25 11:59:36;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Oui;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Trop courte ;Très satisfait;Team bulding;La durée du team bulding 
5;4/6/25 11:55:29;4/6/25 12:03:18;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Team building ;Ras
6;4/6/25 11:58:00;4/6/25 12:05:06;anonymous;;;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;tous les moments sans exception ;RAS 
7;4/6/25 11:59:54;4/6/25 12:08:04;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Peu satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Brise glace, travail en équipe;Satisfait;Très satisfait;Satisfait;Satisfait;Bien équilibrée;Très satisfait;Travail en équipe. Permet la cohésion;Accorder plus de temps aux présentations des chiffre, des objectifs, des actions...
8;4/6/25 12:02:53;4/6/25 12:08:58;anonymous;;;Satisfait;Satisfait;Satisfait;Peu satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Présentation des priorités groupe;Que les journées soient moins intenses
9;4/6/25 12:09:17;4/6/25 12:15:08;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Satisfait;Le team building;La gestion du temps
10;4/6/25 12:17:59;4/6/25 12:21:40;anonymous;;;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Team Building ;Les petits déjeuners de l'hôtel ( croissant, galette, pain chocolat)
11;4/6/25 12:18:20;4/6/25 12:24:36;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Peu satisfait;Peu satisfait;Peu satisfait;Peu satisfait;Trop longue;Satisfait;JS;Le timing 
